COMMAND;PID;USER;FD;TYPE;DEVICE;SIZE/OFF;NODE;NAME
python;10224;tarkus;mem;CHR;195,2;605;/dev/nvidia2
python;10224;tarkus;50u;CHR;195,2;0t0;605;/dev/nvidia2
python;10224;tarkus;52u;CHR;195,2;0t0;605;/dev/nvidia2
python;10224;tarkus;53u;CHR;195,2;0t0;605;/dev/nvidia2
python;10224;tarkus;54u;CHR;195,2;0t0;605;/dev/nvidia2
python;10224;tarkus;56u;CHR;195,2;0t0;605;/dev/nvidia2
python;10224;tarkus;57u;CHR;195,2;0t0;605;/dev/nvidia2
python;10224;tarkus;58u;CHR;195,2;0t0;605;/dev/nvidia2
python;10224;tarkus;59u;CHR;195,2;0t0;605;/dev/nvidia2
python;10224;tarkus;60u;CHR;195,2;0t0;605;/dev/nvidia2
python;10224;tarkus;61u;CHR;195,2;0t0;605;/dev/nvidia2
python;11306;tarkus;7u;CHR;195,2;0t0;605;/dev/nvidia2
python;11306;tarkus;13u;CHR;195,2;0t0;605;/dev/nvidia2
python;11306;tarkus;14u;CHR;195,2;0t0;605;/dev/nvidia2
python;11326;tarkus;7u;CHR;195,2;0t0;605;/dev/nvidia2
python;11326;tarkus;13u;CHR;195,2;0t0;605;/dev/nvidia2
python;11326;tarkus;14u;CHR;195,2;0t0;605;/dev/nvidia2
python;11346;tarkus;7u;CHR;195,2;0t0;605;/dev/nvidia2
python;11346;tarkus;13u;CHR;195,2;0t0;605;/dev/nvidia2
python;11346;tarkus;14u;CHR;195,2;0t0;605;/dev/nvidia2
python;11599;tarkus;7u;CHR;195,2;0t0;605;/dev/nvidia2
python;11599;tarkus;13u;CHR;195,2;0t0;605;/dev/nvidia2
python;11599;tarkus;14u;CHR;195,2;0t0;605;/dev/nvidia2
python;11639;tarkus;7u;CHR;195,2;0t0;605;/dev/nvidia2
python;11639;tarkus;13u;CHR;195,2;0t0;605;/dev/nvidia2
python;11639;tarkus;14u;CHR;195,2;0t0;605;/dev/nvidia2
python;11702;tarkus;7u;CHR;195,2;0t0;605;/dev/nvidia2
python;11702;tarkus;13u;CHR;195,2;0t0;605;/dev/nvidia2
python;11702;tarkus;14u;CHR;195,2;0t0;605;/dev/nvidia2
